FirstPurchaseDate,Frequency,Monetary,Tenure,Variety,PurchaseVelocity,AvgTicketSize,Recency,Churn,Churn_Probability
2009-12-14 08:34:00,11,372.86,361,26,0.03038674033149171,33.89636363636364,165,1,0.6750170021591587
2010-10-31 14:20:00,2,1323.32,40,70,0.04878048780487805,661.66,3,0,0.007155530017369381
2010-09-27 14:59:00,1,222.15999999999997,74,20,0.013333333333333334,222.15999999999997,74,0,0.014597600422110515
2010-04-29 13:20:00,3,2671.14,225,90,0.01327433628318584,890.38,43,0,0.11897172271064198
2010-11-29 15:23:00,1,300.93,11,21,0.08333333333333333,300.93,11,0,0.005865733185444811
2010-11-12 10:20:00,2,343.8,28,18,0.06896551724137931,171.9,11,0,0.007291219481991592
2010-10-27 12:44:00,1,317.76,44,20,0.022222222222222223,317.76,44,0,0.007633692283079278
2010-05-21 11:59:00,1,488.21000000000004,203,22,0.004901960784313725,488.21000000000004,203,1,0.9884605718551379
2010-10-11 09:42:00,3,3562.25,60,68,0.04918032786885246,1187.4166666666667,16,0,0.01565855764790551
2010-11-16 10:05:00,2,12079.99,24,165,0.08,6039.995,24,0,0.01613188679626457
2009-12-08 07:59:00,3,2719.01,367,52,0.008152173913043478,906.3366666666667,11,0,0.25932641434138093
2009-12-05 13:32:00,6,2563.36,370,110,0.016172506738544475,427.2266666666667,61,0,0.10161020801719348
2010-02-22 09:32:00,5,1590.83,291,74,0.017123287671232876,318.166,15,0,0.13914957409250558
2010-01-26 14:37:00,3,321.35,318,14,0.009404388714733543,107.11666666666667,98,1,0.630502942010146
2009-12-01 10:10:00,1,130.0,374,1,0.0026666666666666666,130.0,374,1,0.9878689859606893
2010-03-16 10:28:00,1,500.24,269,3,0.003703703703703704,500.24,269,1,0.9869504951091497
2010-03-21 15:56:00,1,917.7,264,18,0.0037735849056603774,917.7,264,1,0.9861039215224975
2010-03-08 08:09:00,3,1791.15,277,90,0.01079136690647482,597.0500000000001,49,0,0.3064327261331618
2010-02-09 09:41:00,3,774.62,304,33,0.009836065573770493,258.20666666666665,260,1,0.552789984840731
